Day,Hour,Minute,Second,Time +/-,LAT_D,LAT_M,LAT +/-,LONG_D,LONG_M,LONG +/-,Depth (KM),Depth +/-,Mag 1,Mag 2,MAX_INTENSITY,"(District, Region)",REGION NAME
,06,12,43.4,0.0,36,47.4,0.1,140,33.2,0.2,10,0,1.4V,,,"(3, 86)",NORTHERN IBARAKI PREF
,06,12,54.5,0.1,42,22.3,0.5,144,04.5,0.8,30,3,,,,"(1, 28)",SE OFF TOKACHI
,06,13,44.2,0.0,37,07.0,0.1,140,50.1,0.2,7,1,1.9V,,,"(2, 56)",EASTERN FUKUSHIMA PREF
,06,14,32.3,0.0,37,07.1,0.1,140,50.3,0.2,7,1,2.8V,,1,"(2, 56)",EASTERN FUKUSHIMA PREF
,06,15,26.0,0.1,38,20.5,0.4,142,07.3,0.7,33,1,2.9V,,,"(2, 65)",E OFF MIYAGI PREF
,06,20,31.0,0.2,35,44.2,0.4,140,57.1,0.9,12,1,2.1V,,,"(3,110)",NEAR CHOSHI CITY
,06,20,59.5,0.0,37,07.1,0.1,140,50.4,0.2,7,1,2.6V,,1,"(2, 56)",EASTERN FUKUSHIMA PREF
,06,21,03.1,0.0,35,52.4,0.1,137,39.0,0.1,11,1,0.5V,,,"(4,148)",WESTERN NAGANO PREF
,06,23,27.2,0.0,37,07.0,0.1,140,50.4,0.2,7,1,3.4V,,3,"(2, 56)",EASTERN FUKUSHIMA PREF
,06,24,12.3,0.0,37,07.0,0.1,140,50.2,0.2,6,1,3.1V,,2,"(2, 56)",EASTERN FUKUSHIMA PREF
,06,25,44.7,0.0,36,43.3,0.0,140,38.0,0.1,6,0,1.7V,,,"(3, 86)",NORTHERN IBARAKI PREF
,06,27,33.9,0.2,39,50.8,0.6,143,24.6,1.1,27,5,4.5D,4.4W,,"(2, 63)",FAR E OFF SANRIKU        NPS
,06,31,27.4,0.2,28,23.2,1.2,129,40.1,0.4,34,2,1.5V,,,"(7,296)",NEAR AMAMI-OSHIMA ISLAND
,06,32,38.3,0.4,28,25.7,2.4,129,39.9,0.7,37,3,0.9v,,,"(7,296)",NEAR AMAMI-OSHIMA ISLAND
,06,33,47.3,0.0,36,54.3,0.0,140,35.7,0.1,6,0,1.7V,,,"(2, 55)",MID FUKUSHIMA PREF
,06,38,11.9,0.3,24,50.0,1.0,122,25.2,0.4,2,4,2.6v,,,"(7,289)",NW OFF ISHIGAKIJIMA IS
,06,39,27.7,0.0,36,49.2,0.3,138,35.6,0.3,0,,1.0V,,,"(4,144)",NORTHERN NAGANO PREF
,06,40,41.3,0.0,37,07.0,0.1,140,50.2,0.2,7,1,1.9V,,,"(2, 56)",EASTERN FUKUSHIMA PREF
,06,41,09.3,0.1,37,42.0,0.3,141,45.4,0.7,36,2,2.8V,,,"(2, 69)",E OFF FUKUSHIMA PREF
,06,43,06.8,0.3,28,14.5,1.5,129,28.1,1.2,32,3,1.3V,,,"(7,296)",NEAR AMAMI-OSHIMA ISLAND
,06,45,21.5,0.2,37,44.6,1.2,144,21.7,1.2,25,,3.5V,,,"(8,327)",FAR E OFF NORTH HONSHU
,06,48,39.6,0.0,37,41.1,0.1,139,56.0,0.1,9,1,1.0V,,,"(2, 54)",WESTERN FUKUSHIMA PREF
